Epoch,Lr,Valid_loss,Jaccard,DSC,SEN,SPE,PPV
0,0.001,0.3226050663702559,0.5096104145050049,0.652113676071167,0.7650259733200073,0.9983515739440918,0.6455656290054321
1,0.001,0.29531440227338585,0.5236710906028748,0.6661658883094788,0.8135881423950195,0.9981305003166199,0.6194002032279968
2,0.001,0.8569599201183508,0.12416192144155502,0.17051734030246735,0.12898947298526764,0.9999760389328003,0.40803971886634827
3,0.001,0.27896345546930146,0.5679042339324951,0.7026484608650208,0.7833243608474731,0.9986236691474915,0.7020671963691711
4,0.001,0.292968485024896,0.48918306827545166,0.6364794373512268,0.8944444060325623,0.9967544674873352,0.5326939225196838
5,0.001,0.38144688441021607,0.36736541986465454,0.5149106979370117,0.959575891494751,0.9925134181976318,0.3781050741672516
6,0.001,0.2919697436955896,0.5387040972709656,0.6781036853790283,0.799838125705719,0.9979155659675598,0.6514970064163208
7,0.001,0.3020762712648599,0.4898237884044647,0.6352589726448059,0.8646936416625977,0.9962514638900757,0.5432997345924377
8,0.001,0.3780099590225975,0.5047851204872131,0.6297886371612549,0.6390748620033264,0.9992639422416687,0.7374165058135986
9,0.001,0.36337597771446306,0.5115201473236084,0.6444626450538635,0.6534306406974792,0.9992043375968933,0.7362173199653625
10,0.001,0.3408528796517023,0.520910382270813,0.6556557416915894,0.6977653503417969,0.9988979697227478,0.7169442772865295
11,0.001,0.3860944137714877,0.49681326746940613,0.6232959628105164,0.6274172067642212,0.9992236495018005,0.7308675646781921
12,0.001,0.2819218411303983,0.5619433522224426,0.6940117478370667,0.7962262630462646,0.9984835982322693,0.683294415473938
13,0.001,0.31700096685107393,0.5320449471473694,0.6667481660842896,0.7524468898773193,0.9986931085586548,0.6896553635597229
14,0.001,0.372464380641975,0.38993221521377563,0.5392254590988159,0.8988720178604126,0.9937183856964111,0.41609054803848267
15,0.001,0.2928388012517797,0.5142287611961365,0.6531367897987366,0.8603382706642151,0.9968662858009338,0.5786877870559692
16,0.001,0.2740517524209353,0.5668423175811768,0.6982241868972778,0.8111799955368042,0.9984248876571655,0.6759785413742065
17,0.001,0.35565133968202195,0.5267091393470764,0.6563699841499329,0.6510066986083984,0.9993058443069458,0.7634439468383789
18,0.001,0.2880339032352561,0.5758392810821533,0.7056431770324707,0.7526270151138306,0.9988972544670105,0.7389537692070007
19,0.001,0.2579990041137922,0.562736988067627,0.6981412768363953,0.8638226985931396,0.9977450370788574,0.6360991597175598
